resource,description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,avdlp-GP2,affordable-housing,,2020-12-21,E07000004,Affordable Housing,,local-authority-eng:BUC,2004-01-01,/development-policy/local-authority-eng/BUC/avdlp-GP2
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,avdlp-GP3,affordable-housing,,2020-12-21,E07000004,Low cost market housing,,local-authority-eng:BUC,2004-01-01,/development-policy/local-authority-eng/BUC/avdlp-GP3
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,avdlp-GP4,affordable-housing,,2020-12-21,E07000004,Affordable housing on small sites for local needs,,local-authority-eng:BUC,2004-01-01,/development-policy/local-authority-eng/BUC/avdlp-GP4
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,avdlp-GP6,residential-alterations;existing-housing,,2020-12-21,E07000004,Conversion or subdivision of existing dwellings,,local-authority-eng:BUC,2004-01-01,/development-policy/local-authority-eng/BUC/avdlp-GP6
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,avdlp-GP8,design,,2020-12-21,E07000004,Protection of the amenity of residents,,local-authority-eng:BUC,2004-01-01,/development-policy/local-authority-eng/BUC/avdlp-GP8
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,avdlp-GP9,residential-alterations,,2020-12-21,E07000004,Extensions of dwellings,,local-authority-eng:BUC,2004-01-01,/development-policy/local-authority-eng/BUC/avdlp-GP9
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,avdlp-GP11,residential-alterations,,2020-12-21,E07000004,Annexes to dwellings in the countryside,,local-authority-eng:BUC,2004-01-01,/development-policy/local-authority-eng/BUC/avdlp-GP11
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,avdlp-GP17,employment,,2020-12-21,E07000004,Retention in use of existing employment sites,,local-authority-eng:BUC,2004-01-01,/development-policy/local-authority-eng/BUC/avdlp-GP17
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,avdlp-GP24,car-parks;parking,,2020-12-21,E07000004,Car parking guidelines,,local-authority-eng:BUC,2004-01-01,/development-policy/local-authority-eng/BUC/avdlp-GP24
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,avdlp-GP25,rail,,2020-12-21,E07000004,Re-opening of rail routes,,local-authority-eng:BUC,2004-01-01,/development-policy/local-authority-eng/BUC/avdlp-GP25
3dc2158d76387bd9d4434418a22dbca9c3066362f7e67612da1d42f97e1045d5,,avdlp-GP26,rail,,2020-12-21,E07000004,Safeguarded station sites,,local-authority-eng:BUC,2004-01-01,/development-policy/local-authority-eng/BUC/avdlp-GP26
